train/n_updates,train/learning_rate,time/iterations,train/explained_variance,train/entropy_loss,train/std,time/fps,time/total_timesteps,train/value_loss,train/policy_loss,train/reward,time/time_elapsed
99,0.0007,100,0.13639360666275024,-42.59882354736328,1.0013158321380615,350,500,2099.49169921875,-1209.1297607421875,-29.495977,1
199,0.0007,200,-0.0314558744430542,-42.627899169921875,1.0020086765289307,337,1000,1263.042236328125,-1356.435302734375,-38.516594,2
299,0.0007,300,0.012822449207305908,-42.72847366333008,1.0055872201919556,339,1500,21448.849609375,2519.38720703125,17.441647,4
399,0.0007,400,-0.011011958122253418,-42.70756912231445,1.0047590732574463,345,2000,170.70114135742188,-57.14678955078125,19.329348,5
499,0.0007,500,-0.23990094661712646,-42.75708770751953,1.0066728591918945,349,2500,565.6046142578125,1048.5726318359375,-11.475952,7
599,0.0007,600,-0.5759223699569702,-42.79190444946289,1.007778525352478,351,3000,789.8677978515625,-1093.0557861328125,-17.218811,8
699,0.0007,700,0.00988471508026123,-42.82100296020508,1.0086325407028198,352,3500,108370.328125,13510.0732421875,-102.58486,9
799,0.0007,800,0.06977826356887817,-42.86399841308594,1.0100886821746826,353,4000,28316.00390625,-5270.853515625,0.6175781,11
899,0.0007,900,0.06431907415390015,-42.82703399658203,1.008630633354187,355,4500,90029.5859375,-12644.79296875,205.48387,12
999,0.0007,1000,0.42454594373703003,-42.79254150390625,1.0077942609786987,355,5000,117.04051208496094,370.3984375,-0.14026946,14
1099,0.0007,1100,0.1897377371788025,-42.86147689819336,1.0100516080856323,356,5500,11600.83984375,4322.5439453125,66.57372,15
1199,0.0007,1200,0.17892444133758545,-42.90766143798828,1.0115351676940918,357,6000,5981.85546875,2209.7314453125,33.74544,16
1299,0.0007,1300,0.3728331923484802,-42.916927337646484,1.0123707056045532,358,6500,2478.54736328125,-1735.2509765625,-62.76784,18
1399,0.0007,1400,0.15637773275375366,-42.939205169677734,1.0129907131195068,358,7000,40359.5703125,-4505.2822265625,483.67377,19
1499,0.0007,1500,-0.8780068159103394,-42.96882629394531,1.0141555070877075,357,7500,302.66351318359375,-660.3040771484375,8.9281845,20
1599,0.0007,1600,0.22836416959762573,-43.03900146484375,1.0163456201553345,357,8000,699.2406616210938,237.39462280273438,-74.32478,22
1699,0.0007,1700,0.3803996443748474,-43.01346206665039,1.0155431032180786,358,8500,66169.953125,11133.201171875,91.04942,23
1799,0.0007,1800,0.33637577295303345,-43.07090377807617,1.017453908920288,358,9000,3029.88671875,-827.2420043945312,73.12292,25
1899,0.0007,1900,0.18768525123596191,-43.1075439453125,1.0188636779785156,358,9500,20213.84765625,-638.9493408203125,-4.4557734,26
1999,0.0007,2000,0.16097450256347656,-43.108970642089844,1.0190670490264893,359,10000,800.2102661132812,-43.19462966918945,-2.6821203,27
2099,0.0007,2100,0.6370848417282104,-43.17729568481445,1.0216251611709595,359,10500,1072.277099609375,-937.7581787109375,-5.8768806,29
2199,0.0007,2200,0.17286032438278198,-43.20615768432617,1.0226330757141113,359,11000,37082.73828125,-4982.8046875,151.27806,30
2299,0.0007,2300,0.3010927438735962,-43.17451858520508,1.0211700201034546,359,11500,14449.5029296875,-3871.20703125,-11.811571,31
2399,0.0007,2400,0.212752103805542,-43.14085006713867,1.0199809074401855,360,12000,163831.46875,16289.9033203125,8.624533,33
2499,0.0007,2500,0.513414591550827,-43.171016693115234,1.0211679935455322,360,12500,157.66685485839844,-12.566492080688477,0.32472137,34
2599,0.0007,2600,0.9144178107380867,-43.1027717590332,1.0192846059799194,360,13000,426.75830078125,-749.2101440429688,41.93537,36
2699,0.0007,2700,0.08727365732192993,-43.11782455444336,1.0193361043930054,360,13500,293.58465576171875,-232.12240600585938,94.42334,37
2799,0.0007,2800,0.5041348934173584,-43.13915252685547,1.0203709602355957,359,14000,3074.33203125,-2168.218017578125,-2.1774135,38
2899,0.0007,2900,0.8407482206821442,-43.15364074707031,1.0209136009216309,360,14500,186383.21875,18930.73828125,7.4391885,40
2999,0.0007,3000,-0.21175241470336914,-43.16994094848633,1.0214320421218872,360,15000,2648.84326171875,-1786.37890625,42.54727,41
3099,0.0007,3100,0.027074992656707764,-43.12980270385742,1.0200676918029785,360,15500,8042.63037109375,3768.210205078125,-5.7045155,43
3199,0.0007,3200,0.15653777122497559,-43.110347747802734,1.0196564197540283,360,16000,4876.41650390625,-997.7750244140625,159.61903,44
3299,0.0007,3300,0.34787386655807495,-43.109405517578125,1.0192866325378418,360,16500,9546.5888671875,-3191.047607421875,-161.77753,45
3399,0.0007,3400,0.35309863090515137,-43.08964920043945,1.018569827079773,360,17000,14053.5419921875,-4009.534423828125,-184.77261,47
3499,0.0007,3500,-0.5481522083282471,-43.08066177368164,1.018430233001709,360,17500,852.4932861328125,-268.8015441894531,37.70414,48
3599,0.0007,3600,-1.1733794212341309,-43.102989196777344,1.0192043781280518,361,18000,797.5640869140625,-239.9956817626953,-67.28687,49
3699,0.0007,3700,0.375710666179657,-43.06167221069336,1.017746090888977,361,18500,1339.86474609375,-1372.03564453125,-29.556368,51
3799,0.0007,3800,0.15521085262298584,-43.07617950439453,1.0181657075881958,361,19000,5501.66552734375,-1371.542236328125,103.91079,52
3899,0.0007,3900,-0.039975643157958984,-43.119529724121094,1.0198490619659424,361,19500,10701.904296875,1448.48828125,-31.86695,53
3999,0.0007,4000,0.00885462760925293,-43.17345428466797,1.0216634273529053,361,20000,849.8078002929688,-346.7067565917969,-6.9702964,55
4099,0.0007,4100,0.1660211682319641,-43.16363525390625,1.0213043689727783,361,20500,27262.07421875,-5763.82568359375,-101.170334,56
4199,0.0007,4200,0.23021769523620605,-43.196693420410156,1.0222088098526,361,21000,5764.037109375,-2632.84228515625,-34.840725,58
4299,0.0007,4300,0.14017492532730103,-43.251346588134766,1.0243595838546753,361,21500,33460.92578125,-2361.89111328125,0.4400731,59
4399,0.0007,4400,0.13565367460250854,-43.24168395996094,1.023903727531433,361,22000,5308.1806640625,-1725.0286865234375,-13.557243,60
4499,0.0007,4500,0.06826698780059814,-43.27666091918945,1.0250505208969116,361,22500,2342.03173828125,866.5693359375,-0.0876208,62
4599,0.0007,4600,0.6294288635253906,-43.270294189453125,1.0253187417984009,361,23000,341.3788757324219,-393.06536865234375,6.7487707,63
4699,0.0007,4700,0.10052061080932617,-43.233646392822266,1.0236438512802124,361,23500,25539.548828125,-4355.1357421875,-28.155571,65
4799,0.0007,4800,0.17997026443481445,-43.22086715698242,1.0236831903457642,361,24000,49411.19921875,9043.205078125,195.77202,66
4899,0.0007,4900,0.010185480117797852,-43.32079315185547,1.026607871055603,361,24500,27996.681640625,-2338.10888671875,73.84611,67
4999,0.0007,5000,0.46822458505630493,-43.29976272583008,1.0261993408203125,361,25000,879.4232177734375,1251.358154296875,32.34414,69
5099,0.0007,5100,-0.5181881189346313,-43.33238983154297,1.0273851156234741,361,25500,581.2200927734375,-362.22052001953125,-3.3902714,70
5199,0.0007,5200,-0.5740982294082642,-43.38322067260742,1.0289082527160645,361,26000,1886.0250244140625,-818.9169921875,16.413385,71
5299,0.0007,5300,0.18609893321990967,-43.357177734375,1.0279937982559204,361,26500,1203.158203125,910.0157470703125,-129.07655,73
5399,0.0007,5400,0.16396784782409668,-43.358917236328125,1.027944564819336,361,27000,4981.03662109375,-1981.562744140625,-171.52376,74
5499,0.0007,5500,0.13051903247833252,-43.36458969116211,1.0282130241394043,360,27500,3956.791748046875,2225.805908203125,5.659957,76
5599,0.0007,5600,0.11545276641845703,-43.328330993652344,1.026981234550476,360,28000,4303.70947265625,-2130.331298828125,-103.936775,77
5699,0.0007,5700,0.40903592109680176,-43.27550506591797,1.025159478187561,360,28500,33553.69921875,7555.8125,-296.3226,79
5799,0.0007,5800,0.36499518156051636,-43.276912689208984,1.0250447988510132,360,29000,55580.1015625,9096.048828125,124.52416,80
5899,0.0007,5900,0.09134024381637573,-43.23786926269531,1.0238388776779175,360,29500,78156.4140625,-1919.0361328125,364.56104,81
5999,0.0007,6000,0.3691391944885254,-43.27543258666992,1.0251413583755493,359,30000,570.5161743164062,-599.5245971679688,0.839353,83
6099,0.0007,6100,0.2518808841705322,-43.277984619140625,1.025198221206665,359,30500,6224.37646484375,-1778.0404052734375,26.011599,84
6199,0.0007,6200,0.6088347733020782,-43.273193359375,1.0253163576126099,359,31000,681.8875732421875,-919.8092041015625,-42.91047,86
6299,0.0007,6300,0.10287970304489136,-43.30714416503906,1.0263652801513672,359,31500,44389.3125,-2851.423828125,1.5199329,87
6399,0.0007,6400,0.7442948818206787,-43.31190490722656,1.0264817476272583,359,32000,1297.341552734375,-1524.1414794921875,-0.4681976,89
6499,0.0007,6500,0.6486667990684509,-43.310203552246094,1.0265588760375977,359,32500,288.95294189453125,187.28707885742188,69.585106,90
6599,0.0007,6600,-1.894355058670044,-43.313045501708984,1.0268594026565552,359,33000,3196.50244140625,2188.31396484375,-0.2407244,91
6699,0.0007,6700,0.11857974529266357,-43.330047607421875,1.0273268222808838,358,33500,1808.426513671875,780.8709716796875,-8.482522,93
6799,0.0007,6800,0.42768341302871704,-43.40581512451172,1.029928207397461,358,34000,3705.498779296875,-921.1011962890625,48.894398,94
6899,0.0007,6900,-0.5624005794525146,-43.45234298706055,1.0314594507217407,358,34500,575.6578979492188,-780.6491088867188,-33.43606,96
6999,0.0007,7000,0.26298755407333374,-43.444950103759766,1.0312823057174683,358,35000,521.720458984375,799.6405639648438,14.696284,97
7099,0.0007,7100,-0.6415709257125854,-43.494014739990234,1.0332006216049194,358,35500,188.22898864746094,142.05047607421875,-13.625375,99
7199,0.0007,7200,-0.20245015621185303,-43.46763229370117,1.0322209596633911,357,36000,159.78729248046875,-166.27757263183594,37.46738,100
7299,0.0007,7300,0.05185443162918091,-43.44451141357422,1.0315742492675781,357,36500,39.035648345947266,81.76229095458984,0.7313145,101
7399,0.0007,7400,0.4910961985588074,-43.42998123168945,1.031269907951355,357,37000,814.7064208984375,741.6878662109375,25.964573,103
7499,0.0007,7500,-0.09070682525634766,-43.471527099609375,1.0324711799621582,357,37500,1025.148193359375,-660.620849609375,-16.97966,104
7599,0.0007,7600,0.5009227693080902,-43.456844329833984,1.032208800315857,357,38000,881.77978515625,976.7091674804688,-34.479877,106
7699,0.0007,7700,-0.6245979070663452,-43.44005584716797,1.0314780473709106,357,38500,790.3477783203125,886.7259521484375,21.329443,107
7799,0.0007,7800,-2.259251356124878,-43.487361907958984,1.033008098602295,357,39000,1581.0377197265625,79.24334716796875,37.30961,109
7899,0.0007,7900,0.5454328656196594,-43.48452377319336,1.0333222150802612,357,39500,357.84259033203125,638.2377319335938,-9.793493,110
7999,0.0007,8000,0.45517879724502563,-43.547454833984375,1.0354468822479248,357,40000,513.9691162109375,-770.0731201171875,42.544437,111
8099,0.0007,8100,0.6573401391506195,-43.504459381103516,1.0339523553848267,357,40500,961.1769409179688,-1222.8599853515625,31.634003,113
8199,0.0007,8200,0.42510753870010376,-43.45542907714844,1.0323870182037354,357,41000,308.35516357421875,-280.7749938964844,-85.16316,114
8299,0.0007,8300,-0.009085416793823242,-43.43053436279297,1.0313725471496582,357,41500,1246.6683349609375,613.055908203125,-55.394367,116
8399,0.0007,8400,-1.2459161281585693,-43.45101547241211,1.032119631767273,357,42000,9161.5029296875,3876.76171875,-112.43334,117
8499,0.0007,8500,0.5572773218154907,-43.48239517211914,1.0330570936203003,356,42500,241.9817657470703,213.6862030029297,-22.17835,119
8599,0.0007,8600,0.008776605129241943,-43.483306884765625,1.0332767963409424,356,43000,1731.436767578125,-1396.294677734375,2.168229,120
8699,0.0007,8700,0.687805563211441,-43.4417839050293,1.0318925380706787,356,43500,876.6103515625,886.8762817382812,19.403225,121
8799,0.0007,8800,0.3183211088180542,-43.407466888427734,1.03071129322052,356,44000,3436.75341796875,1725.827392578125,-0.8463891,123
8899,0.0007,8900,0.6599496006965637,-43.412620544433594,1.0307163000106812,356,44500,7263.8828125,3589.317626953125,-116.1506,124
8999,0.0007,9000,0.1734512448310852,-43.442291259765625,1.0317102670669556,356,45000,337.54962158203125,-107.85987854003906,-25.24632,126
9099,0.0007,9100,0.3773367404937744,-43.47727584838867,1.0327495336532593,356,45500,284.162353515625,316.07464599609375,29.111029,127
9199,0.0007,9200,0.8108939230442047,-43.47050094604492,1.0328165292739868,356,46000,920.28955078125,-1064.78955078125,-28.140394,128
9299,0.0007,9300,0.51824951171875,-43.50404739379883,1.034258246421814,355,46500,710.276123046875,-332.03594970703125,70.185905,130
9399,0.0007,9400,0.24321216344833374,-43.5004997253418,1.0341888666152954,355,47000,8239.58203125,2947.93017578125,-0.7406669,132
9499,0.0007,9500,0.9851513104513288,-43.494720458984375,1.0338733196258545,355,47500,6.8170905113220215,4.446096897125244,0.2528307,133
9599,0.0007,9600,0.7723522186279297,-43.469993591308594,1.0331406593322754,355,48000,307.86431884765625,565.9697875976562,12.564189,134
9699,0.0007,9700,0.9271570220589638,-43.481842041015625,1.0334875583648682,355,48500,40.71525955200195,-153.86343383789062,52.367065,136
9799,0.0007,9800,-0.6041308641433716,-43.43210983276367,1.0319126844406128,355,49000,415.81280517578125,451.07989501953125,-33.508144,137
9899,0.0007,9900,0.9559468887746334,-43.42424011230469,1.031616449356079,355,49500,53.66143035888672,-175.0996551513672,-57.183743,139
9999,0.0007,10000,0.348121702671051,-43.447303771972656,1.0326707363128662,355,50000,804.8038330078125,759.1634521484375,-52.75665,140
