Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,161.0000,161.1400,160.9200,161.0300,220568
2023-08-30 14:00:00,160.8150,160.9200,160.6550,160.8800,158879
2023-08-30 13:00:00,160.8500,161.0900,160.7200,160.9700,140474
2023-08-30 12:00:00,160.7700,160.9000,160.7000,160.8700,151821
2023-08-30 11:00:00,160.6220,160.8400,160.5500,160.8400,136569
2023-08-30 10:00:00,161.0100,161.0100,160.1470,160.1800,250923
2023-08-30 09:00:00,160.4000,161.2900,160.4000,161.0080,451147
2023-08-29 15:00:00,159.8950,159.9400,159.7400,159.9100,208499
2023-08-29 14:00:00,159.7550,159.8210,159.5200,159.8200,203630
2023-08-29 13:00:00,159.8400,160.0850,159.8100,159.9000,203853
2023-08-29 12:00:00,159.5850,159.9500,159.4500,159.8770,198603
2023-08-29 11:00:00,159.0900,159.3700,159.0200,159.3500,157188
2023-08-29 10:00:00,159.2700,159.8550,159.2700,159.6200,319303
2023-08-29 09:00:00,159.0000,159.5800,158.8600,159.2900,341214
2023-08-28 15:00:00,158.2300,158.4300,158.2000,158.4200,192858
2023-08-28 14:00:00,158.3600,158.3700,158.1000,158.2100,165843
2023-08-28 13:00:00,158.4900,158.8000,158.4800,158.7300,143246
2023-08-28 12:00:00,158.3600,158.4500,158.1800,158.3200,125965
2023-08-28 11:00:00,158.2700,158.6300,158.1400,158.4200,162763
2023-08-28 10:00:00,158.4300,158.4400,158.0900,158.2400,230564
2023-08-28 09:00:00,157.8600,158.6900,157.8600,158.4350,331195
2023-08-25 15:00:00,157.8300,158.0400,157.7000,157.8300,257418
2023-08-25 14:00:00,157.5000,157.8300,157.3870,157.8000,247804
2023-08-25 13:00:00,157.2600,157.4300,157.0700,157.1600,133577
2023-08-25 12:00:00,157.0200,157.4300,156.9300,157.4100,213778
2023-08-25 11:00:00,157.0100,157.4100,156.9000,157.4000,225948
2023-08-25 10:00:00,157.3300,157.5400,156.5400,156.8500,269417
2023-08-25 09:00:00,157.1800,157.7000,156.8300,157.3100,287186
2023-08-24 15:00:00,157.6400,157.9400,157.6000,157.6800,256458
2023-08-24 14:00:00,157.5900,157.7500,157.4600,157.4900,140764
2023-08-24 13:00:00,157.7000,157.7800,157.4100,157.4700,144408
2023-08-24 12:00:00,157.7200,157.8400,157.5600,157.6700,179900
2023-08-24 11:00:00,157.8200,158.2000,157.6600,158.2000,263560
2023-08-24 10:00:00,159.0800,159.1400,158.5300,158.7700,327337
2023-08-24 09:00:00,158.1300,159.2300,157.9300,159.0800,451033
2023-08-23 15:00:00,158.0100,158.0400,157.8000,157.9500,208556
2023-08-23 14:00:00,158.0930,158.1410,157.8100,157.9600,178889
2023-08-23 13:00:00,157.9500,158.4000,157.9500,158.2620,382670
2023-08-23 12:00:00,157.4400,157.7570,157.3900,157.6400,159184
2023-08-23 11:00:00,157.4150,157.7400,157.3700,157.5800,278926
2023-08-23 10:00:00,157.0900,157.5200,157.0400,157.1850,390307
2023-08-23 09:00:00,156.6100,157.4000,156.5100,157.0700,438208
2023-08-22 15:00:00,156.6400,157.0550,156.6300,156.8400,359409
2023-08-22 14:00:00,156.6980,156.9450,156.5900,156.8700,252586
2023-08-22 13:00:00,156.9050,156.9050,156.4900,156.6400,203295
2023-08-22 12:00:00,156.5300,156.6550,156.3400,156.5200,166920
2023-08-22 11:00:00,156.5280,156.7200,156.3200,156.6700,263621
2023-08-22 10:00:00,156.7500,156.8900,156.2400,156.7300,323678
2023-08-22 09:00:00,156.9700,157.3100,156.3300,156.7750,478984
2023-08-21 15:00:00,157.6900,157.7650,157.5300,157.6100,293776
2023-08-21 14:00:00,157.1750,157.3850,157.1600,157.3130,215087
2023-08-21 13:00:00,157.3200,157.3700,157.1200,157.3000,241116
2023-08-21 12:00:00,157.2350,157.4400,157.0400,157.2400,203196
